Fitting 5 folds for each of 27 candidates, totalling 135 fits
[CV 1/5; 26/27] START C=100, epsilon=0.001, gamma=0.01..........................
[CV 1/5; 26/27] END C=100, epsilon=0.001, gamma=0.01; neg_mean_squared_error: (test=-4.949) r2: (test=0.869) total time= 4.0min
[CV 2/5; 26/27] START C=100, epsilon=0.001, gamma=0.01..........................
[CV 2/5; 26/27] END C=100, epsilon=0.001, gamma=0.01; neg_mean_squared_error: (test=-4.983) r2: (test=0.855) total time= 3.9min
[CV 3/5; 26/27] START C=100, epsilon=0.001, gamma=0.01..........................
[CV 3/5; 26/27] END C=100, epsilon=0.001, gamma=0.01; neg_mean_squared_error: (test=-5.057) r2: (test=0.861) total time= 3.8min
[CV 4/5; 26/27] START C=100, epsilon=0.001, gamma=0.01..........................
[CV 4/5; 26/27] END C=100, epsilon=0.001, gamma=0.01; neg_mean_squared_error: (test=-4.887) r2: (test=0.865) total time= 3.7min
[CV 5/5; 26/27] START C=100, epsilon=0.001, gamma=0.01..........................
[CV 5/5; 26/27] END C=100, epsilon=0.001, gamma=0.01; neg_mean_squared_error: (test=-4.977) r2: (test=0.864) total time= 3.8min

[CV 1/5; 27/27] START C=100, epsilon=0.001, gamma=scale.........................
[CV 1/5; 27/27] END C=100, epsilon=0.001, gamma=scale; neg_mean_squared_error: (test=-4.805) r2: (test=0.873) total time=52.8min
[CV 2/5; 27/27] START C=100, epsilon=0.001, gamma=scale.........................
[CV 2/5; 27/27] END C=100, epsilon=0.001, gamma=scale; neg_mean_squared_error: (test=-4.833) r2: (test=0.860) total time=50.5min
[CV 3/5; 27/27] START C=100, epsilon=0.001, gamma=scale.........................
[CV 3/5; 27/27] END C=100, epsilon=0.001, gamma=scale; neg_mean_squared_error: (test=-4.798) r2: (test=0.868) total time=50.3min
[CV 4/5; 27/27] START C=100, epsilon=0.001, gamma=scale.........................
[CV 4/5; 27/27] END C=100, epsilon=0.001, gamma=scale; neg_mean_squared_error: (test=-4.780) r2: (test=0.868) total time=35.3min
[CV 5/5; 27/27] START C=100, epsilon=0.001, gamma=scale.........................
[CV 5/5; 27/27] END C=100, epsilon=0.001, gamma=scale; neg_mean_squared_error: (test=-5.019) r2: (test=0.863) total time=37.0min

Grid Search Completed in: 5:29:12.299380

Best Parameters in Grid Search:
 {'C': 100, 'epsilon': 0.1, 'gamma': 'scale'}

Best Estimator in Grid Search:
 SVR(C=100)


Support Vector Machine - Mean Squared Error (MSE) from Cross Validation:
[4.7869756  4.81861617 4.78283611 4.76204603 4.99659337]

Support Vector Machine - R2 Score from Cross Validation:
[0.87342761 0.86001132 0.86808174 0.86888552 0.86341403]


Support Vector Machine - Error Values for Predicted Values:

Mean Absolute Error (MAE) :
1.6386806462472463

Mean Squared Error (MSE) :
5.012881014241868

Root Mean Square Error (RMSE) :
2.238946407183939

R2 Score :
0.8753086684859772
